report_date,age_weeks,eggs_picked,trays_picked,damages,trays_out,trays_in,extras_count,mortality,feed_bags_used,bird_count,production_percent,notes
2025-09-08,18,1,,,,,,,4,,,
2025-09-09,18,10,,2,,,,,4,,,
2025-09-10,18,22,,,1,,,,4,,,
2025-09-11,18,,1,,,1,1,,4,,,
2025-09-12,18,,1,3,2,,10,,4,,,
2025-09-13,18,,2,13,,4,,,4,,,
2025-09-14,18,,2,,,6,24,,4,,,
2025-09-15,19,,4,,,10,14,,4,,,
2025-09-16,19,,6,4,,16,11,,4,,,
2025-09-17,19,,8,,,24,7,,4,,,
2025-09-18,19,,10,3,26,10,7,1,4,,,
2025-09-19,19,,12,4,,22,10,1,4,,,
2025-09-20,19,,14,6,,36,22,,4,,,
2025-09-21,19,,18,2,1,53,5,,4,,,
2025-09-22,20,,20,4,54,20,1,1,4,,,
2025-09-23,20,,25,1,,45,2,1,4,,,
2025-09-24,20,,28,5,7,66,6,,4,,,
2025-09-25,20,,31,4,1,96,18,,4,,,
2025-09-26,20,,33,4,,129,10,,4,,,
2025-09-27,20,,34,5,2,161,10,,4,,,
2025-09-28,20,,36,5,,197,9,,4,,,
2025-09-29,21,,37,1,100,134,,,4,,,
2025-09-30,21,,41,7,101,74,,,4,,,
2025-10-01,21,,43,5,,117,9,,4,,,
2025-10-02,21,1337,44,5,100,61,17,,4,,,
2025-10-03,21,,46,5,1,106,6,,4,,,
2025-10-04,21,,49,2,101,50,,,4,,,
2025-10-05,21,,51,3,1,104,,,4,,,
2025-10-06,22,,52,2,,156,2,1,4,,,
2025-10-07,22,,54,2,100,110,,1,4,,,
2025-10-08,22,,55,4,1,164,5,,4,,,
2025-10-09,22,,56,3,50,170,6,1,4,,,
